name,hotel_link,address,star_rating,guest_rating_score,reviews,distance_from_downtown,distance_from_beach,preferred_badge,deal_badge,room_type,bed_details,cancellation_policy,prepayment_policy,availability_message,nights_and_guests,original_price_value,original_price_currency,discounted_price_value,discounted_price_currency,taxes_and_fees_value,taxes_and_fees_currency
Villa 73 Unawatuna,https://www.booking.com/hotel/lk/villa-73-unawatuna.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-01-23&checkout=2026-01-24&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628434&all_sr_blocks=824212105_353570676_2_1_0&highlighted_blocks=824212105_353570676_2_1_0&matching_block_id=824212105_353570676_2_1_0&sr_pri_blocks=824212105_353570676_2_1_0__6000&from=searchresults,Unawatuna,0.0,9.2,231.0,0.3,0.9,1,1,Deluxe Double Room,,,,We have 1 left at this price,"1 night, 1 adult",60.0,$,60.0,$,0.0,
Nooit Gedacht Heritage Hotel (Original Dutch Governors House),https://www.booking.com/hotel/lk/nooit-gedacht-ayurveda-heritage.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-27&checkout=2026-02-28&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=34241206_265093589_2_1_0&highlighted_blocks=34241206_265093589_2_1_0&matching_block_id=34241206_265093589_2_1_0&sr_pri_blocks=34241206_265093589_2_1_0__3400&from=searchresults,Unawatuna,0.0,8.5,718.0,0.35,0.45,1,0,Budget Double Room,,,,We have 1 left at this price,"1 night, 1 adult",34.0,$,34.0,$,10.0,$
White Flower Guest,https://www.booking.com/hotel/lk/white-flower-guest.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-01-30&checkout=2026-01-31&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=1540298504_425436452_2_0_0&highlighted_blocks=1540298504_425436452_2_0_0&matching_block_id=1540298504_425436452_2_0_0&sr_pri_blocks=1540298504_425436452_2_0_0__2320&from=searchresults,Unawatuna,0.0,10.0,4.0,1.0,0.05,0,1,Budget Double Room,,,,We have 1 left at this price,"1 night, 1 adult",23.0,$,23.0,$,3.0,$
Dunes Unawatuna Hotel,https://www.booking.com/hotel/lk/dunes-unawatuna.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-01-23&checkout=2026-01-24&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=63642406_0_1_0_0&highlighted_blocks=63642406_0_1_0_0&matching_block_id=63642406_0_1_0_0&sr_pri_blocks=63642406_0_1_0_0__6017&from=searchresults,Unawatuna,0.0,9.2,548.0,0.6,0.25,1,0,Single Room with Balcony,,,,,"1 night, 1 adult",60.0,$,60.0,$,0.0,
Aurora,https://www.booking.com/hotel/lk/aurora-unawatuna.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-01-23&checkout=2026-01-24&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=122986801_273506099_1_1_0&highlighted_blocks=122986801_273506099_1_1_0&matching_block_id=122986801_273506099_1_1_0&sr_pri_blocks=122986801_273506099_1_1_0__12420&from=searchresults,Unawatuna,0.0,9.5,463.0,1.0,0.15,1,0,Deluxe Double Room,,,,We have 1 left at this price,"1 night, 1 adult",124.0,$,124.0,$,0.0,
Dev House,https://www.booking.com/hotel/lk/dev-house-unawatuna1.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-03-20&checkout=2026-03-21&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=1092080401_399386118_2_0_0&highlighted_blocks=1092080401_399386118_2_0_0&matching_block_id=1092080401_399386118_2_0_0&sr_pri_blocks=1092080401_399386118_2_0_0__1300&from=searchresults,Unawatuna,0.0,9.3,88.0,0.35,0.45,0,0,Double Room with Balcony,,,,We have 1 left at this price,"1 night, 1 adult",13.0,$,13.0,$,1.0,$
Lara's place,https://www.booking.com/hotel/lk/laras-place.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-13&checkout=2026-02-14&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=80132405_96029204_0_2_0&highlighted_blocks=80132405_96029204_0_2_0&matching_block_id=80132405_96029204_0_2_0&sr_pri_blocks=80132405_96029204_0_2_0__9654&from=searchresults,Unawatuna,0.0,9.5,306.0,0.9,0.35,1,0,Deluxe Double Room with Sea View,,,,We have 1 left at this price,"1 night, 1 adult",97.0,$,97.0,$,0.0,
Epic Unawatuna,https://www.booking.com/hotel/lk/epic-unawatuna.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-03-13&checkout=2026-03-14&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=252956903_208164138_0_42_0&highlighted_blocks=252956903_208164138_0_42_0&matching_block_id=252956903_208164138_0_42_0&sr_pri_blocks=252956903_208164138_0_42_0__7000&from=searchresults,Unawatuna,0.0,8.8,267.0,1.0,0.1,1,0,Deluxe Queen Room,,,,We have 1 left at this price,"1 night, 1 adult",70.0,$,70.0,$,7.0,$
The Horizon Hill Top Villa,https://www.booking.com/hotel/lk/the-horizon-hill-top-villa.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-01-23&checkout=2026-01-24&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=122479005_181627250_1_42_0&highlighted_blocks=122479005_181627250_1_42_0&matching_block_id=122479005_181627250_1_42_0&sr_pri_blocks=122479005_181627250_1_42_0__5760&from=searchresults,Unawatuna,0.0,8.7,294.0,1.6,0.75,1,0,Economy Double Room,,,,We have 1 left at this price,"1 night, 1 adult",58.0,$,58.0,$,6.0,$
Anara Villa,https://www.booking.com/hotel/lk/anara-villa.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArbBrMsGwAIB0gIkMDJlMWY4ZTMtZGJjNC00NDhjLWI5NzktMjE2ZTE3Y2Y4OGIy2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-13&checkout=2026-02-14&dest_id=-2238370&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8463cbb0df047c3d0f6f76a8bab5c0d5&srepoch=1768628432&all_sr_blocks=107617201_195287779_1_2_0&highlighted_blocks=107617201_195287779_1_2_0&matching_block_id=107617201_195287779_1_2_0&sr_pri_blocks=107617201_195287779_1_2_0__916&from=searchresults,Unawatuna,0.0,8.7,257.0,4.9,0.05,1,0,Standard Double Room with Fan,,,,We have 2 left at this price,"1 night, 1 adult",9.0,$,9.0,$,0.0,
